"","Distribution","variable","value"
"1","t3","med",0.04
"2","t5","med",0.0325
"3","exp","med",0.03
"4","logis","med",0.0425
"5","norm","med",0.0475
"6","unif","med",0.0625
"7","laplace","med",0.0625
"8","t3","wmw",0.0525
"9","t5","wmw",0.0275
"10","exp","wmw",0.0325
"11","logis","wmw",0.0525
"12","norm","wmw",0.0375
"13","unif","wmw",0.05
"14","laplace","wmw",0.07
"15","t3","t",0.0425
"16","t5","t",0.035
"17","exp","t",0.04
"18","logis","t",0.0475
"19","norm","t",0.0475
"20","unif","t",0.05
"21","laplace","t",0.0775
